,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
0,nm0001173,Aaron Eckhart,1968,\N,"actor,producer,soundtrack","tt0468569,tt0119361,tt0298814,tt0427944"
1,nm0666739,Aaron Paul,1979,\N,"actor,producer,soundtrack","tt0903747,tt2369135,tt9243946,tt0844708"
2,nm1093951,Aaron Taylor-Johnson,1990,\N,"actor,soundtrack,music_department","tt4550098,tt1250777,tt1266029,tt1650554"
3,nm0180411,Abbie Cornish,1982,\N,"actress,soundtrack","tt5027774,tt0978764,tt0810784,tt0424880"
4,nm1113550,Abigail Breslin,1996,\N,"actress,soundtrack,director","tt0449059,tt0832266,tt0286106,tt1322269"
5,nm0000284,Adam Baldwin,1962,\N,"actor,soundtrack","tt0187393,tt0116629,tt0093058,tt0379786"
6,nm3485845,Adam Driver,1983,\N,"actor,soundtrack","tt5247022,tt2488496,tt2527336,tt7653254"
7,nm0004965,Adam Goldberg,1970,\N,"actor,producer,writer","tt0106677,tt0114194,tt0120815,tt0268978"
8,nm0001191,Adam Sandler,1966,\N,"actor,producer,writer","tt0142342,tt0120888,tt0185431,tt0120484"
9,nm0004395,Adam Scott,1973,\N,"actor,producer,director","tt0329691,tt1720616,tt0838283,tt0359950"
10,nm0056770,Adriana Barraza,1956,\N,"miscellaneous,director,actress","tt0449467,tt1127180,tt1206885,tt0800369"
11,nm1597316,Adrianne Palicki,1983,\N,actress,"tt0758745,tt1038686,tt1583421,tt2911666"
12,nm0004778,Adrien Brody,1973,\N,"actor,producer,composer","tt0253474,tt1683526,tt2278388,tt1605783"
13,nm0000199,Al Pacino,1940,\N,"actor,producer,soundtrack","tt0072890,tt0070666,tt0068646,tt0099422"
14,nm0001128,Alain Delon,1935,\N,"actor,producer,writer","tt0062229,tt0054189,tt0057091,tt0072448"
15,nm0000257,Alan Alda,1936,\N,"actor,miscellaneous,soundtrack","tt0338751,tt0068098,tt0082405,tt0097123"
16,nm0000273,Alan Arkin,1934,\N,"actor,soundtrack,director","tt0099487,tt0449059,tt1024648,tt0104348"
17,nm0000614,Alan Rickman,1946,2016,"actor,soundtrack,writer","tt1201607,tt0102798,tt0177789,tt0095016"
18,nm2024927,Alan Ritchson,1984,\N,"actor,producer,writer","tt7460912,tt3949660,tt1291150,tt1951264"
19,nm0876138,Alan Tudyk,1971,\N,"actor,writer,producer","tt0343818,tt0183790,tt3748528,tt0303461"
20,nm0000983,Albert Brooks,1947,\N,"actor,writer,director","tt0780504,tt0089504,tt0092699,tt0101698"
21,nm0001215,Albert Finney,1936,2019,"actor,producer,soundtrack","tt0319061,tt0071877,tt0054269,tt0195685"
22,nm0000285,Alec Baldwin,1958,\N,"actor,producer,soundtrack","tt1230414,tt0104348,tt0318374,tt0407887"
23,nm0000027,Alec Guinness,1914,2000,"actor,soundtrack,writer","tt0051739,tt0050212,tt0041546,tt0076759"
24,nm0097504,Alex Borstein,1971,\N,"actress,music_department,writer","tt0385690,tt0327554,tt0182576,tt0306841"
25,nm1111968,Alexa Davalos,1982,\N,actress,"tt0296572,tt1034303,tt0800320,tt0884328"
26,nm0002907,Alexander Skarsgård,1976,\N,"actor,producer,writer","tt0918940,tt0844441,tt3920596,tt7598448"
27,nm1275259,Alexandra Daddario,1986,\N,"actress,soundtrack,producer","tt1572315,tt1854564,tt1469304,tt0814255"
28,nm0219206,Alexis Denisof,1966,\N,"actor,soundtrack","tt2027128,tt2015381,tt0162065,tt0848228"
29,nm0005490,Alexis Thorpe,1980,\N,actress,"tt0417056,tt0058796,tt0328828,tt0756683"
30,nm0000547,Alfred Molina,1953,\N,"actor,producer,soundtrack","tt0120679,tt0241303,tt0175880,tt0316654"
