,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
0,tt2614684,movie,'71,'71,0,2014,\N,99,"Action,Crime,Drama"
1,tt2375559,movie,1 - Nenokkadine,1 - Nenokkadine,0,2014,\N,170,"Action,Thriller"
2,tt1179933,movie,10 Cloverfield Lane,10 Cloverfield Lane,0,2016,\N,103,"Action,Drama,Horror"
3,tt0114746,movie,12 Monkeys,Twelve Monkeys,0,1995,\N,129,"Mystery,Sci-Fi,Thriller"
4,tt2024544,movie,12 Years a Slave,12 Years a Slave,0,2013,\N,134,"Biography,Drama,History"
5,tt1436045,movie,13 Assassins,Jûsan-nin no shikaku,0,2010,\N,141,"Action,Adventure,Drama"
6,tt4172430,movie,13 Hours,13 Hours,0,2016,\N,144,"Action,Drama,History"
7,tt8579674,movie,1917,1917,0,2019,\N,119,"Drama,Thriller,War"
8,tt0087803,movie,1984,Nineteen Eighty-Four,0,1984,\N,113,"Drama,Sci-Fi"
9,tt0212712,movie,2046,2046,0,2004,\N,129,"Drama,Romance,Sci-Fi"
10,tt0274309,movie,24 Hour Party People,24 Hour Party People,0,2002,\N,117,"Biography,Comedy,Drama"
11,tt0289043,movie,28 Days Later...,28 Days Later...,0,2002,\N,113,"Drama,Horror,Sci-Fi"
12,tt0463854,movie,28 Weeks Later,28 Weeks Later,0,2007,\N,100,"Drama,Horror,Sci-Fi"
13,tt1187043,movie,3 Idiots,3 Idiots,0,2009,\N,170,"Comedy,Drama"
14,tt0423866,movie,3-Iron,Bin-jip,0,2004,\N,88,"Crime,Drama,Romance"
15,tt0381849,movie,3:10 to Yuma,3:10 to Yuma,0,2007,\N,122,"Action,Crime,Drama"
16,tt0453562,movie,42,42,0,2013,\N,128,"Biography,Drama,Sport"
17,tt0983213,movie,5 Centimeters Per Second,Byôsoku 5 senchimêtoru,0,2007,\N,63,"Animation,Drama,Family"
18,tt1306980,movie,50/50,50/50,0,2011,\N,100,"Comedy,Drama,Romance"
19,tt1022603,movie,500 Days of Summer,(500) Days of Summer,0,2009,\N,95,"Comedy,Drama,Romance"
20,tt0298203,movie,8 Mile,8 Mile,0,2002,\N,110,"Drama,Music"
21,tt0283832,movie,8 Women,8 femmes,0,2002,\N,111,"Comedy,Crime,Musical"
22,tt0268978,movie,A Beautiful Mind,A Beautiful Mind,0,2001,\N,135,"Biography,Drama"
23,tt0075784,movie,A Bridge Too Far,A Bridge Too Far,0,1977,\N,175,"Drama,History,War"
24,tt0106489,movie,A Bronx Tale,A Bronx Tale,0,1993,\N,121,"Crime,Drama,Romance"
25,tt0085334,movie,A Christmas Story,A Christmas Story,0,1983,\N,93,"Comedy,Family"
26,tt0066921,movie,A Clockwork Orange,A Clockwork Orange,0,1971,\N,136,"Crime,Drama,Sci-Fi"
27,tt0104694,movie,A League of Their Own,A League of Their Own,0,1992,\N,128,"Comedy,Drama,Sport"
28,tt0113670,movie,A Little Princess,A Little Princess,0,1995,\N,97,"Drama,Family,Fantasy"
29,tt4080728,movie,A Man Called Ove,En man som heter Ove,0,2015,\N,116,"Comedy,Drama,Romance"
30,tt0310281,movie,A Mighty Wind,A Mighty Wind,0,2003,\N,91,"Comedy,Music"
31,tt2557490,movie,A Million Ways to Die in the West,A Million Ways to Die in the West,0,2014,\N,116,"Comedy,Western"
32,tt3416532,movie,A Monster Calls,A Monster Calls,0,2016,\N,108,"Adventure,Drama,Family"
33,tt0087800,movie,A Nightmare on Elm Street,A Nightmare on Elm Street,0,1984,\N,91,Horror
34,tt6644200,movie,A Quiet Place,A Quiet Place,0,2018,\N,90,"Drama,Horror,Sci-Fi"
35,tt1276419,movie,A Royal Affair,En kongelig affære,0,2012,\N,137,"Biography,Drama,History"
36,tt0405296,movie,A Scanner Darkly,A Scanner Darkly,0,2006,\N,100,"Animation,Crime,Drama"
37,tt1832382,movie,A Separation,Jodaeiye Nader az Simin,0,2011,\N,123,Drama
38,tt5323662,movie,A Silent Voice: The Movie,Koe no katachi,0,2016,\N,130,"Animation,Drama,Family"
39,tt1315981,movie,A Single Man,A Single Man,0,2009,\N,99,"Drama,Romance"
40,tt1517451,movie,A Star Is Born,A Star Is Born,0,2018,\N,136,"Drama,Music,Romance"
41,tt0365376,movie,A Tale of Two Sisters,"Janghwa, Hongryeon",0,2003,\N,114,"Drama,Horror,Mystery"
42,tt0344510,movie,A Very Long Engagement,Un long dimanche de fiançailles,0,2004,\N,133,"Drama,Mystery,Romance"
43,tt1280558,movie,A Wednesday,A Wednesday,0,2008,\N,104,"Action,Crime,Drama"
44,tt0212720,movie,A.I. Artificial Intelligence,A.I. Artificial Intelligence,0,2001,\N,146,"Drama,Sci-Fi"
45,tt1286126,movie,A.R.O.G,A.R.O.G,0,2008,\N,127,"Comedy,Fantasy,Sci-Fi"
