,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,directors,writers
0,tt1979320,movie,Rush,Rush,0,2013,\N,123,"Action,Biography,Drama",8.1,434855.0,nm0000165,nm0604948
1,tt3848892,movie,Baby,Baby,0,2015,\N,159,"Action,Thriller",8.0,52960.0,nm3109770,nm3109770
2,tt2380307,movie,Coco,Coco,0,2017,\N,105,"Adventure,Animation,Family",8.4,390167.0,"nm2937122,nm0881279","nm0881279,nm0441735,nm0017690,nm2937122"
3,tt7002100,movie,Coco,Coco,0,2017,\N,98,Horror,7.5,35.0,nm9039216,nm9039216
4,tt2096673,movie,Inside Out,Inside Out,0,2015,\N,95,"Adventure,Animation,Comedy",8.1,621068.0,"nm0230032,nm0215455","nm0230032,nm0215455,nm0498834,nm2155757,nm1578335,nm2919995,nm0352778,nm0688132"
5,tt3521164,movie,Moana,Moana,0,2016,\N,107,"Adventure,Animation,Comedy",7.6,275105.0,"nm0166256,nm0930261,nm2320658,nm0615780","nm1158544,nm0166256,nm0615780,nm0930261,nm2320658,nm0962596,nm3764118,nm3764493"
6,tt7146812,movie,Onward,Onward,0,2020,\N,102,"Adventure,Animation,Comedy",7.4,103881.0,nm0768959,"nm0768959,nm1291392,nm3268751"
7,tt2294629,movie,Frozen,Frozen,0,2013,\N,102,"Adventure,Animation,Comedy",7.4,574822.0,"nm0118333,nm1601644","nm1601644,nm0026153,nm0118333,nm2280850"
8,tt1895587,movie,Spotlight,Spotlight,0,2015,\N,129,"Biography,Crime,Drama",8.1,423226.0,nm0565336,"nm1802857,nm0565336"
9,tt7785302,movie,Spotlight,Spotlight,0,2015,\N,99,Drama,7.9,15.0,nm8971368,nm9014849
10,tt0369702,movie,The Sea Inside,Mar adentro,0,2004,\N,126,"Biography,Drama",8.0,77783.0,nm0024622,"nm0024622,nm0317834"
11,tt3169706,movie,Pride,Pride,0,2014,\N,119,"Biography,Comedy,Drama",7.8,52196.0,nm0911334,nm0073571
12,tt0964517,movie,The Fighter,The Fighter,0,2010,\N,116,"Biography,Drama,Sport",7.8,342192.0,nm0751102,"nm0798788,nm0848496,nm2053216,nm2565612"
13,tt0350258,movie,Ray,Ray,0,2004,\N,152,"Biography,Drama,Music",7.7,138950.0,nm0000431,"nm0000431,nm1343803"
14,tt5525360,movie,Pink,Pink,0,2016,\N,100,"Comedy,Drama",1.6,137.0,nm0215948,\N
15,tt5571734,movie,Pink,Pink,0,2016,\N,136,"Drama,Thriller",8.1,39434.0,nm2287772,"nm1999473,nm2287772,nm1937760"
16,tt3612616,movie,Mommy,Mommy,0,2014,\N,139,Drama,8.1,51068.0,nm0230859,nm0230859
17,tt3170832,movie,Room,Room,0,2015,\N,118,"Drama,Thriller",8.1,374508.0,nm1049433,nm1480980
18,tt2543472,movie,Wonder,Wonder,0,2017,\N,113,"Drama,Family",8.0,143716.0,nm0154716,"nm0154716,nm0175726,nm2113666,nm5383459"
19,tt2194499,movie,About Time,About Time,0,2013,\N,123,"Comedy,Drama,Fantasy",7.8,305995.0,nm0193485,nm0193485
20,tt7984734,movie,The Lighthouse,The Lighthouse,0,2019,\N,109,"Drama,Fantasy,Horror",7.5,146132.0,nm3211470,"nm3211470,nm3220455"
21,tt0112384,movie,Apollo 13,Apollo 13,0,1995,\N,140,"Adventure,Drama,History",7.6,270694.0,nm0000165,"nm0522554,nm0460200,nm0115310,nm0718031"
22,tt6590506,movie,Apollo 13,Apollo 13,0,1995,\N,49,Documentary,8.1,38.0,\N,\N
23,tt5052448,movie,Get Out,Get Out,0,2017,\N,104,"Horror,Mystery,Thriller",7.7,496989.0,nm1443502,nm1443502
24,tt0099871,movie,Jacob's Ladder,Jacob's Ladder,0,1990,\N,113,"Drama,Horror,Mystery",7.5,99229.0,nm0001490,nm0748022
25,tt1396484,movie,It,It,0,2017,\N,135,Horror,7.3,462143.0,nm0615592,"nm1286060,nm1560977,nm2477891,nm0000175"
26,tt0907657,movie,Once,Once,0,2007,\N,86,"Drama,Music,Romance",7.8,110990.0,nm0138809,nm0138809
27,tt1945037,movie,Begin Again,Begin Again,0,2013,\N,68,"Drama,Family",7.0,57.0,"nm3371870,nm2495038","nm3371870,nm3051877"
28,tt1980929,movie,Begin Again,Begin Again,0,2013,\N,104,"Comedy,Drama,Music",7.4,144143.0,nm0138809,nm0138809
29,tt3312830,movie,Youth,Youth,0,2015,\N,124,"Comedy,Drama,Music",7.3,72302.0,nm0815204,nm0815204
30,tt2066051,movie,Rocketman,Rocketman,0,2019,\N,121,"Biography,Drama,Music",7.3,140379.0,nm0002077,nm0355822
31,tt8372368,movie,Rocketman,Rocketman,0,2019,\N,94,"Adventure,Comedy,Documentary",6.3,154.0,"nm2291121,nm0513005","nm2291121,nm0513005"
32,tt8359848,movie,Climax,Climax,0,2018,\N,97,"Drama,Horror,Music",7.0,53646.0,nm0637615,nm0637615
