,tconst,Unnamed: 0,Unnamed: 0.1,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,directors,writers,actors,awards,country,language,budget,worldwideGross,oscarsWon,oscarsNom,goldenGlobesWon,goldenGlobesNom,totalWins,totalNoms
0,tt1979320,0,3882758,movie,Rush,Rush,0,2013,\N,123,"Action,Biography,Drama",8.1,434855.0,nm0000165,nm0604948,"Chris Hemsworth,Daniel Brühl,Olivia Wilde,Alexandra Maria Lara,Pierfrancesco Favino,David Calder,Natalie Dormer,Stephen Mangan,Christian McKay,Alistair Petrie","Nominated2GoldenGlobes,6wins63nominations","UK,Germany,USA","English,German,Italian,French,Spanish","$38,000,000","$96,983,009",0,0,0,2,6,63
1,tt3848892,1,4883646,movie,Baby,Baby,0,2015,\N,159,"Action,Thriller",8.0,52960.0,nm3109770,nm3109770,"Akshay Kumar,Danny Denzongpa,Rana Daggubati,Taapsee Pannu,Anupam Kher,Kay Kay Menon,Sushant Singh,Madhurima Tuli,Mikaal Zulfiqar,Hasan Noman",1win1nomination,India,Hindi,,"$11,533,057",0,0,0,0,1,1
2,tt2380307,2,4248785,movie,Coco,Coco,0,2017,\N,105,"Adventure,Animation,Family",8.4,390167.0,"nm2937122,nm0881279","nm0881279,nm0441735,nm0017690,nm2937122","Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,Alanna Ubach,Renee Victor,Jaime Camil,Alfonso Arau,Herbert Siguenza,Gabriel Iglesias,Lombardo Boyar","Won2Oscars,110wins38nominations","USA,Mexico","English,Spanish","$175,000,000","$807,817,888",2,0,0,0,110,38
3,tt7002100,3,6297987,movie,Coco,Coco,0,2017,\N,98,Horror,7.5,35.0,nm9039216,nm9039216,"Neil Boultby,Bea Jugo C.,Natalia Kaverznikova,Salima Ky,Gonzalo Moreno,Leolo Moulin,Lucy Rodriguez Sandoval,Isabelle Stokes",,Spain,"English,Spanish",EUR200,,0,0,0,0,0,
4,tt2096673,4,3996089,movie,Inside Out,Inside Out,0,2015,\N,95,"Adventure,Animation,Comedy",8.1,621068.0,"nm0230032,nm0215455","nm0230032,nm0215455,nm0498834,nm2155757,nm1578335,nm2919995,nm0352778,nm0688132","Amy Poehler,Phyllis Smith,Richard Kind,Bill Hader,Lewis Black,Mindy Kaling,Kaitlyn Dias,Diane Lane,Kyle MacLachlan,Paula Poundstone","Won1Oscar,99wins115nominations",USA,"English,Portuguese","$175,000,000","$858,071,350",1,0,0,0,99,115
5,tt3521164,5,4740994,movie,Moana,Moana,0,2016,\N,107,"Adventure,Animation,Comedy",7.6,275105.0,"nm0166256,nm0930261,nm2320658,nm0615780","nm1158544,nm0166256,nm0615780,nm0930261,nm2320658,nm0962596,nm3764118,nm3764493","""Aulii Cravalho"",Dwayne Johnson,Rachel House,Temuera Morrison,Jemaine Clement,Nicole Scherzinger,Alan Tudyk,Oscar Kightley,Troy Polamalu,Puanani Cravalho","Nominated2Oscars,20wins88nominations",USA,"English,French","$150,000,000","$643,350,998",0,2,0,0,20,88
6,tt7146812,6,6365786,movie,Onward,Onward,0,2020,\N,102,"Adventure,Animation,Comedy",7.4,103881.0,nm0768959,"nm0768959,nm1291392,nm3268751","Tom Holland,Chris Pratt,Julia Louis-Dreyfus,Octavia Spencer,Mel Rodriguez,Kyle Bornheimer,Lena Waithe,Ali Wong,Tracey Ullman,Wilmer Valderrama","Nominated1GoldenGlobe,3wins56nominations",USA,English,,"$141,950,121",0,0,0,1,3,56
7,tt2294629,7,4173350,movie,Frozen,Frozen,0,2013,\N,102,"Adventure,Animation,Comedy",7.4,574822.0,"nm0118333,nm1601644","nm1601644,nm0026153,nm0118333,nm2280850","Kristen Bell,Idina Menzel,Jonathan Groff,Josh Gad,Santino Fontana,Alan Tudyk,Ciarán Hinds,Chris Williams,Stephen J. Anderson,Maia Wilson","Won2Oscars,79wins60nominations","USA,Norway","English,Norwegian","$150,000,000","$1,281,019,275",2,0,0,0,79,60
8,tt1895587,8,3802175,movie,Spotlight,Spotlight,0,2015,\N,129,"Biography,Crime,Drama",8.1,423226.0,nm0565336,"nm1802857,nm0565336","Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,John Slattery,""Brian dArcy James"",Stanley Tucci,Elena Wohl,Gene Amoroso,Doug Murray","Won2Oscars,122wins143nominations",USA,English,"$20,000,000","$98,690,254",2,0,0,0,122,143
9,tt7785302,9,6664077,movie,Spotlight,Spotlight,0,2015,\N,99,Drama,7.9,15.0,nm8971368,nm9014849,"Segun Arinze,Lota Chukwu,Desmond Elliott,Onyeka Emechebe,Sly Monay,Bolanle Ninalowo,Omoni Oboli,Mena Sodje,O.C. Ukeje,Rekiya Yusuf",,Nigeria,English,,,0,0,0,0,0,
10,tt0369702,10,354731,movie,The Sea Inside,Mar adentro,0,2004,\N,126,"Biography,Drama",8.0,77783.0,nm0024622,"nm0024622,nm0317834","Javier Bardem,Belén Rueda,Lola Dueñas,Mabel Rivera,Celso Bugallo,Clara Segura,Joan Dalmau,Alberto Jiménez,Tamar Novas,Francesc Garrido","Won1Oscar,67wins38nominations","Spain,France,Italy","Spanish,Catalan,Gallegan","EUR10,000,000","$43,731,621",1,0,0,0,67,38
11,tt3169706,11,4588825,movie,Pride,Pride,0,2014,\N,119,"Biography,Comedy,Drama",7.8,52196.0,nm0911334,nm0073571,"Ben Schnetzer,Abram Rooney,Jim McManus,George MacKay,Monica Dolan,Matthew Flynn,Andrew Scott,Joseph Gilgun,Faye Marsay,Freddie Fox","Nominated1GoldenGlobe,10wins22nominations","UK,France,USA","English,Welsh",,"$16,775,629",0,0,0,1,10,22
12,tt0964517,12,934669,movie,The Fighter,The Fighter,0,2010,\N,116,"Biography,Drama,Sport",7.8,342192.0,nm0751102,"nm0798788,nm0848496,nm2053216,nm2565612","Mark Wahlberg,Christian Bale,Amy Adams,Melissa Leo,""Mickey OKeefe"",Jack McGee,Melissa McMeekin,Bianca Hunter,Erica McDermott,Jill Quigg","Won2Oscars,72wins123nominations",USA,English,"$25,000,000","$129,190,869",2,0,0,0,72,123
13,tt0350258,13,335851,movie,Ray,Ray,0,2004,\N,152,"Biography,Drama,Music",7.7,138950.0,nm0000431,"nm0000431,nm1343803","Jamie Foxx,Kerry Washington,Regina King,Clifton Powell,Harry Lennix,Bokeem Woodbine,Aunjanue Ellis,Sharon Warren,C.J. Sanders,Curtis Armstrong","Won2Oscars,52wins54nominations",USA,English,"$40,000,000","$123,971,376",2,0,0,0,52,54
14,tt5525360,14,5631949,movie,Pink,Pink,0,2016,\N,100,"Comedy,Drama",1.6,137.0,nm0215948,\N,"Pablo Cheng,Charly López,Roberto Palazuelos",,Mexico,Spanish,,,0,0,0,0,0,
15,tt5571734,15,5652852,movie,Pink,Pink,0,2016,\N,136,"Drama,Thriller",8.1,39434.0,nm2287772,"nm1999473,nm2287772,nm1937760","Taapsee Pannu,Amitabh Bachchan,Kirti Kulhari,Andrea Tariang,Piyush Mishra,Angad Bedi,Vijay Varma,Raashul Tandon,Tushar Pandey,Dhritiman Chatterjee",14wins17nominations,India,Hindi,,"$180,180",0,0,0,0,14,17
16,tt3612616,16,4780022,movie,Mommy,Mommy,0,2014,\N,139,Drama,8.1,51068.0,nm0230859,nm0230859,"Anne Dorval,Suzanne Clément,Antoine Olivier Pilon,Patrick Huard,Alexandre Goyette,Michèle Lituac,Viviane Pascal,Natalie Hamel-Roy,Isabelle Nélisse,Ted Pluviose",54wins66nominations,Canada,"French,English",,"$13,156,856",0,0,0,0,54,66
